state,year,dem_name,rep_name,dem_spend,rep_spend,dem_pac,rep_pac
Arizona,2012,Obama,Romney,737.1,458.7,70.5,143.3
Arkansas,2012,Obama,Romney,737.1,458.7,70.5,143.3
California,2012,Obama,Romney,737.1,458.7,70.5,143.3
Colorado,2012,Obama,Romney,737.1,458.7,70.5,143.3
Connecticut,2012,Obama,Romney,737.1,458.7,70.5,143.3
Delaware,2012,Obama,Romney,737.1,458.7,70.5,143.3
District of Columbia,2012,Obama,Romney,737.1,458.7,70.5,143.3
Florida,2012,Obama,Romney,737.1,458.7,70.5,143.3
Georgia,2012,Obama,Romney,737.1,458.7,70.5,143.3
Hawaii,2012,Obama,Romney,737.1,458.7,70.5,143.3
Idaho,2012,Obama,Romney,737.1,458.7,70.5,143.3
Illinois,2012,Obama,Romney,737.1,458.7,70.5,143.3
Indiana,2012,Obama,Romney,737.1,458.7,70.5,143.3
Iowa,2012,Obama,Romney,737.1,458.7,70.5,143.3
Kansas,2012,Obama,Romney,737.1,458.7,70.5,143.3
Kentucky,2012,Obama,Romney,737.1,458.7,70.5,143.3
Louisiana,2012,Obama,Romney,737.1,458.7,70.5,143.3
Maine,2012,Obama,Romney,737.1,458.7,70.5,143.3
Maryland,2012,Obama,Romney,737.1,458.7,70.5,143.3
Massachusetts,2012,Obama,Romney,737.1,458.7,70.5,143.3
Michigan,2012,Obama,Romney,737.1,458.7,70.5,143.3
Minnesota,2012,Obama,Romney,737.1,458.7,70.5,143.3
Mississippi,2012,Obama,Romney,737.1,458.7,70.5,143.3
Missouri,2012,Obama,Romney,737.1,458.7,70.5,143.3
Montana,2012,Obama,Romney,737.1,458.7,70.5,143.3
Nebraska,2012,Obama,Romney,737.1,458.7,70.5,143.3
Nevada,2012,Obama,Romney,737.1,458.7,70.5,143.3
New Hampshire,2012,Obama,Romney,737.1,458.7,70.5,143.3
New Jersey,2012,Obama,Romney,737.1,458.7,70.5,143.3
New Mexico,2012,Obama,Romney,737.1,458.7,70.5,143.3
New York,2012,Obama,Romney,737.1,458.7,70.5,143.3
North Carolina,2012,Obama,Romney,737.1,458.7,70.5,143.3
North Dakota,2012,Obama,Romney,737.1,458.7,70.5,143.3
Ohio,2012,Obama,Romney,737.1,458.7,70.5,143.3
Oklahoma,2012,Obama,Romney,737.1,458.7,70.5,143.3
Oregon,2012,Obama,Romney,737.1,458.7,70.5,143.3
Pennsylvania,2012,Obama,Romney,737.1,458.7,70.5,143.3
Rhode Island,2012,Obama,Romney,737.1,458.7,70.5,143.3
South Carolina,2012,Obama,Romney,737.1,458.7,70.5,143.3
South Dakota,2012,Obama,Romney,737.1,458.7,70.5,143.3
Texas,2012,Obama,Romney,737.1,458.7,70.5,143.3
Utah,2012,Obama,Romney,737.1,458.7,70.5,143.3
Vermont,2012,Obama,Romney,737.1,458.7,70.5,143.3
