year,state,hs_grad,bachelors,adv_degree,media houdhold income,rep_spending,dem_spending,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,stateGDP,rep_win
2004,Arkansas,79.2,18.8,6.2,45511,452.98,424.526,3.26,17.9,8.59,6.6,54.11875,0.51,0.5264,0.5162,28,0.74316103,1
2004,California,81.3,31.7,10.4,64033,452.98,424.526,3.26,13.3,8.59,7,94.75,0.51,0.5264,0.5162,39,1.095937035,0
2004,Colorado,88.3,35.5,12.4,66198,452.98,424.526,3.26,11.1,8.59,6.3,85.24375,0.51,0.5264,0.5162,55,1.06536907,1
2004,Connecticut,88.8,34.5,14.4,71680,452.98,424.526,3.26,7.6,8.59,5.7,87.83125,0.51,0.5264,0.5162,39,1.383407786,0
2004,Delaware,86.5,26.9,10.5,62507,452.98,424.526,3.26,9.9,8.59,4.4,81.5,0.51,0.5264,0.5162,60,1.478408849,0
2004,District of Columbia,86.4,45.7,25.4,56525,452.98,424.526,3.26,18.9,8.59,7.2,100,0.51,0.5264,0.5162,15,3.404913848,0
2004,Florida,85.9,26,8.9,52732,452.98,424.526,3.26,12.2,8.59,4.9,90.13125,0.51,0.5264,0.5162,67,0.887811104,1
2004,Georgia,85.2,27.6,9.2,53316,452.98,424.526,3.26,14.8,8.59,4.5,73.13125,0.51,0.5264,0.5162,44,0.991257179,1
2004,Hawaii,88,26.6,9.8,73165,452.98,424.526,3.26,10.6,8.59,3.8,91.675,0.51,0.5264,0.5162,26,1.028993831,0
2004,Idaho,87.9,23.8,7.1,57705,452.98,424.526,3.26,14.5,8.59,6.6,68.2375,0.51,0.5264,0.5162,78,0.737396299,1
2004,Illinois,86.8,27.4,10.8,59942,452.98,424.526,3.26,11.9,8.59,7,88.10625,0.51,0.5264,0.5162,44,1.07379281,0
2004,Indiana,87.2,21.1,8,55066,452.98,424.526,3.26,10.8,8.59,5.9,71.5,0.51,0.5264,0.5162,54,0.917740906,1
2004,Iowa,89.8,24.3,7.4,56447,452.98,424.526,3.26,9.9,8.59,5.3,62.36875,0.51,0.5264,0.5162,55,0.948840672,1
2004,Kansas,89.6,30,9.8,53423,452.98,424.526,3.26,10.5,8.59,6,72.625,0.51,0.5264,0.5162,67,0.866794299,1
2004,Kentucky,81.8,21,8.2,46325,452.98,424.526,3.26,17.4,8.59,6.3,56.9375,0.51,0.5264,0.5162,41,0.79691555,1
2004,Louisiana,78.7,22.4,6.8,47391,452.98,424.526,3.26,19.4,8.59,6.6,72.8625,0.51,0.5264,0.5162,36,0.950989151,1
2004,Maine,87.1,24.2,8.9,53765,452.98,424.526,3.26,12.3,8.59,5.6,39.54375,0.51,0.5264,0.5162,45,0.831503935,0
2004,Maryland,87.4,35.2,15.7,74285,452.98,424.526,3.26,8.8,8.59,4.7,86.58125,0.51,0.5264,0.5162,30,1.075239311,0
2004,Massachusetts,86.9,36.7,15.6,67672,452.98,424.526,3.26,9.2,8.59,6.2,91.6625,0.51,0.5264,0.5162,15,1.227377154,0
2004,Michigan,87.9,24.4,9.2,54971,452.98,424.526,3.26,12.3,8.59,7.5,74.65625,0.51,0.5264,0.5162,57,0.901595405,0
2004,Minnesota,92.3,32.5,9.6,72986,452.98,424.526,3.26,8.3,8.59,5.9,71.95,0.51,0.5264,0.5162,56,1.090321208,0
2004,Mississippi,83,20.1,6.1,45213,452.98,424.526,3.26,21.6,8.59,6.3,49.01875,0.51,0.5264,0.5162,40,0.648989577,1
2004,Missouri,87.9,28.1,8.7,54816,452.98,424.526,3.26,11.8,8.59,5.9,69.8375,0.51,0.5264,0.5162,56,0.907104871,1
2004,Montana,91.9,25.5,8.4,44173,452.98,424.526,3.26,14.2,8.59,6,54.8875,0.51,0.5264,0.5162,55,0.741757073,1
2004,Nebraska,91.3,24.8,8.4,56961,452.98,424.526,3.26,11,8.59,4.5,71.24375,0.51,0.5264,0.5162,65,0.96762391,1
2004,Nevada,86.3,24.5,7.2,61408,452.98,424.526,3.26,12.6,8.59,5.1,92.68125,0.51,0.5264,0.5162,51,1.11274197,1
2004,New Hampshire,90.8,35.4,11.2,73911,452.98,424.526,3.26,7.6,8.59,4.7,59.7375,0.51,0.5264,0.5162,71,1.009827696,0
